epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1508.27,0.8075,0.74252,1.10204,0.63767,0.73894,0.66816,0.4462,1.249,1.43768,1.48148,0.000848969,0.000848969,0.000848969
43,1542.14,0.80733,0.75324,1.10801,0.6906,0.60294,0.6365,0.41107,1.15584,1.65536,1.39042,0.000834822,0.000834822,0.000834822
44,1576.65,0.80016,0.72249,1.08024,0.65096,0.60641,0.60992,0.40468,1.16562,1.52702,1.41033,0.000820675,0.000820675,0.000820675
45,1610.31,0.77831,0.72381,1.07714,0.59474,0.76885,0.6749,0.43974,1.1868,1.3737,1.43131,0.000806528,0.000806528,0.000806528
46,1647.83,0.7996,0.71122,1.09769,0.73203,0.75055,0.73424,0.47531,1.18959,1.19545,1.4388,0.00079238,0.00079238,0.00079238
47,1682.72,0.76982,0.69206,1.10347,0.84695,0.67466,0.73935,0.49596,1.1689,1.20448,1.43649,0.000778233,0.000778233,0.000778233
48,1716.85,0.74002,0.68333,1.07193,0.75842,0.72534,0.7368,0.48044,1.21666,1.22853,1.49272,0.000764086,0.000764086,0.000764086
49,1753.33,0.72581,0.6615,1.04063,0.80955,0.71067,0.73715,0.48278,1.21431,1.18653,1.49801,0.000749939,0.000749939,0.000749939
50,1788.66,0.73104,0.65107,1.06754,0.79869,0.68309,0.73344,0.46717,1.24469,1.23381,1.5416,0.000735792,0.000735792,0.000735792
51,1823.66,0.74102,0.66473,1.06256,0.78347,0.63547,0.67703,0.45442,1.23227,1.28512,1.52066,0.000721645,0.000721645,0.000721645
52,1857.81,0.75417,0.66078,1.06598,0.75186,0.63663,0.68151,0.45237,1.16551,1.27407,1.46869,0.000707498,0.000707498,0.000707498
53,1891.55,0.72407,0.66673,1.05548,0.76737,0.63346,0.69352,0.46261,1.11665,1.2102,1.43618,0.000693351,0.000693351,0.000693351
54,1925.22,0.72027,0.68344,1.0799,0.68147,0.73235,0.74986,0.49349,1.1706,1.21744,1.46886,0.000679204,0.000679204,0.000679204
55,1959.11,0.74065,0.64632,1.07247,0.7142,0.68669,0.72843,0.48214,1.22108,1.26254,1.48975,0.000665057,0.000665057,0.000665057
56,1993.17,0.71624,0.6432,1.03203,0.79209,0.6379,0.71606,0.47292,1.22605,1.2756,1.49653,0.000650909,0.000650909,0.000650909
57,2026.78,0.73763,0.68445,1.07841,0.73275,0.69237,0.70244,0.47153,1.22875,1.23662,1.50582,0.000636762,0.000636762,0.000636762
58,2060.45,0.72374,0.6945,1.0828,0.71055,0.68155,0.68972,0.46228,1.24227,1.20955,1.52966,0.000622615,0.000622615,0.000622615
59,2097.56,0.71698,0.64474,1.05245,0.69785,0.70171,0.70782,0.4546,1.28462,1.22187,1.58319,0.000608468,0.000608468,0.000608468
60,2132.44,0.70322,0.62396,1.06648,0.6903,0.72591,0.70815,0.44506,1.30039,1.16676,1.58148,0.000594321,0.000594321,0.000594321
61,2166.89,0.66864,0.60718,1.03226,0.72068,0.71163,0.73121,0.46865,1.27724,1.16286,1.56282,0.000580174,0.000580174,0.000580174
62,2204.45,0.67753,0.60709,1.0227,0.70715,0.72656,0.70965,0.46163,1.25332,1.2473,1.55624,0.000566027,0.000566027,0.000566027
63,2239.78,0.68587,0.58613,1.03922,0.77862,0.75827,0.72768,0.47292,1.28555,1.21593,1.61336,0.00055188,0.00055188,0.00055188
64,2274.12,0.66883,0.58367,1.02211,0.80726,0.72576,0.733,0.46901,1.28063,1.16121,1.5758,0.000537733,0.000537733,0.000537733
65,2308.52,0.65161,0.55625,1.02068,0.78519,0.73407,0.74799,0.47871,1.26168,1.13815,1.56568,0.000523586,0.000523586,0.000523586
66,2343.02,0.68469,0.60417,1.03754,0.7335,0.76764,0.74121,0.46761,1.29649,1.12556,1.59304,0.000509438,0.000509438,0.000509438
67,2377.38,0.63157,0.56953,1.00143,0.81042,0.71326,0.75879,0.47249,1.28296,1.16559,1.57937,0.000495291,0.000495291,0.000495291
68,2413.64,0.6675,0.58913,1.03693,0.83406,0.72336,0.74989,0.47822,1.26476,1.19212,1.56934,0.000481144,0.000481144,0.000481144
69,2447.86,0.60775,0.55672,0.99876,0.74825,0.75301,0.74168,0.4702,1.22673,1.20854,1.54873,0.000466997,0.000466997,0.000466997
70,2481.58,0.64306,0.57027,1.01096,0.7367,0.74799,0.73928,0.47306,1.22778,1.18714,1.54765,0.00045285,0.00045285,0.00045285
71,2515.31,0.63935,0.57658,0.99882,0.73052,0.74844,0.73996,0.48111,1.22352,1.14175,1.56,0.000438703,0.000438703,0.000438703
72,2549.38,0.61489,0.53645,1.00225,0.86498,0.74375,0.77133,0.48799,1.22466,1.08275,1.5708,0.000424556,0.000424556,0.000424556
73,2583.15,0.6227,0.53243,1.01278,0.78941,0.77576,0.7756,0.48753,1.25216,1.07844,1.57019,0.000410409,0.000410409,0.000410409
74,2616.62,0.58839,0.5237,0.98869,0.83912,0.76527,0.78674,0.50046,1.22509,1.06949,1.5349,0.000396262,0.000396262,0.000396262
75,2650.74,0.58786,0.51832,0.97905,0.80549,0.73155,0.75608,0.49078,1.21315,1.08152,1.50492,0.000382115,0.000382115,0.000382115
76,2685.53,0.6088,0.53554,1.00406,0.78854,0.77576,0.76177,0.49613,1.19013,1.12294,1.5004,0.000367967,0.000367967,0.000367967
77,2723.85,0.61472,0.54185,0.99734,0.79231,0.72088,0.73591,0.49364,1.1746,1.12425,1.49218,0.00035382,0.00035382,0.00035382
78,2759,0.59593,0.52572,0.9961,0.77535,0.72895,0.71387,0.48919,1.1471,1.13991,1.49098,0.000339673,0.000339673,0.000339673
79,2793.23,0.60471,0.52747,0.99524,0.76388,0.72735,0.72638,0.48604,1.15633,1.16794,1.49084,0.000325526,0.000325526,0.000325526
80,2827.61,0.55909,0.51947,0.96645,0.7653,0.72667,0.72692,0.47555,1.18374,1.16932,1.50976,0.000311379,0.000311379,0.000311379
81,2860.95,0.583,0.51906,1.0024,0.72033,0.74322,0.72375,0.4814,1.17164,1.15991,1.49663,0.000297232,0.000297232,0.000297232
82,2895.08,0.58925,0.52443,0.97314,0.72654,0.75919,0.75639,0.49677,1.14366,1.14363,1.47459,0.000283085,0.000283085,0.000283085
83,2929.39,0.54723,0.49721,0.97023,0.70274,0.77962,0.75029,0.49564,1.16006,1.12379,1.47301,0.000268938,0.000268938,0.000268938
84,2963.19,0.57924,0.51537,0.98275,0.79396,0.72468,0.75141,0.47915,1.195,1.11408,1.47945,0.000254791,0.000254791,0.000254791
85,2997.01,0.58276,0.51409,0.98512,0.77699,0.73468,0.74573,0.47373,1.18592,1.1048,1.48068,0.000240644,0.000240644,0.000240644
86,3031.55,0.55112,0.49644,0.96207,0.76403,0.79362,0.7721,0.48883,1.19702,1.08627,1.51983,0.000226497,0.000226497,0.000226497
87,3066.26,0.56475,0.49193,0.98978,0.75329,0.80672,0.77391,0.48753,1.2011,1.04571,1.5357,0.000212349,0.000212349,0.000212349
88,3104.37,0.53759,0.4808,0.96811,0.71722,0.78805,0.75897,0.49035,1.1865,1.0501,1.53287,0.000198202,0.000198202,0.000198202
89,3138.33,0.53006,0.48072,0.96318,0.7898,0.72122,0.74937,0.49324,1.19946,1.05553,1.55424,0.000184055,0.000184055,0.000184055
90,3172.44,0.52809,0.4861,0.95461,0.78116,0.73966,0.75188,0.49093,1.21127,1.07745,1.57222,0.000169908,0.000169908,0.000169908
91,3206.08,0.49014,0.53119,0.94514,0.74888,0.76186,0.74149,0.48163,1.21613,1.07477,1.57278,0.000155761,0.000155761,0.000155761
92,3239.24,0.47288,0.48966,0.91313,0.74595,0.74322,0.73953,0.47503,1.23498,1.10244,1.58002,0.000141614,0.000141614,0.000141614
93,3272.16,0.47887,0.4897,0.92791,0.81371,0.70259,0.73887,0.47725,1.23341,1.10273,1.5855,0.000127467,0.000127467,0.000127467
94,3307.75,0.44611,0.48642,0.9142,0.82577,0.6866,0.73286,0.485,1.21091,1.12354,1.55731,0.00011332,0.00011332,0.00011332
95,3340.89,0.45716,0.48835,0.92753,0.833,0.68578,0.72521,0.48517,1.19454,1.15308,1.54442,9.91726e-05,9.91726e-05,9.91726e-05
96,3375.74,0.44242,0.46218,0.90246,0.82234,0.68642,0.72413,0.4816,1.19597,1.14869,1.54373,8.50255e-05,8.50255e-05,8.50255e-05
97,3411.38,0.4585,0.46722,0.90633,0.81414,0.68632,0.72324,0.48439,1.19494,1.13755,1.53961,7.08784e-05,7.08784e-05,7.08784e-05
98,3445.6,0.42261,0.44293,0.89732,0.81443,0.68309,0.72985,0.49332,1.20265,1.13319,1.53947,5.67313e-05,5.67313e-05,5.67313e-05
99,3479.36,0.43645,0.45818,0.89903,0.78577,0.72474,0.73902,0.49429,1.21305,1.11676,1.54921,4.25842e-05,4.25842e-05,4.25842e-05
100,3512.67,0.44253,0.47011,0.90175,0.80715,0.73182,0.74917,0.50056,1.21672,1.10017,1.55625,2.84371e-05,2.84371e-05,2.84371e-05
